date,max_humidex_v,max_temperature_v,max_wind_speed_v,min_temperature_v,min_wind_speed_v,precipitation_v,rain_v,snow_v,snow_on_ground_v
2017-08-21,43,34.4,40,3.3,0,34.7,19.8,0,0
2017-08-20,42,33.9,33,3.6,0,15.4,15.4,0,0
2017-08-19,42,33.9,44,6,0,19.4,19.4,0,0
2017-08-18,41,32.2,39,5.6,0,39.6,39.6,0,0
2017-08-17,40,32.8,37,7.2,0,15.4,15.4,0,0
2017-08-16,41,31.7,40,5.6,0,32,32,0,0
2017-08-15,40,33.3,40,6.7,0,42.7,42.7,0,0
2017-08-14,44,33.9,48,7.2,0,23.1,23.1,0,0
2017-08-13,42,33.3,56,6.1,0,30.2,30.2,0,0
2017-08-12,45,33.3,40,6.1,0,50.4,23,0,0
2017-08-11,42,34.4,40,6.7,0,38.9,38.9,0,0
2017-08-10,41,35,48,7.2,0,22.3,19.8,0,0
2017-08-09,43,34.7,37,8.3,0,44.9,44.4,0,0
2017-08-08,42,37,43,8.2,0,17,17,0,0
2017-08-07,44,33.8,35,8.2,0,59.7,59.7,0,0
2017-08-06,43,34.7,45,7.1,0,35.1,35.1,0,0
2017-08-05,41,33.3,35,5.6,0,37.1,37.1,0,0
2017-08-04,42,33.9,52,7.2,0,26.2,26.2,0,0
2017-08-03,42,35.6,39,7.8,0,37.3,37.3,0,0
2017-08-02,47,35.6,40,7.2,0,50.8,50.8,0,0
2017-08-01,45,34.4,39,6.7,0,50.7,50.7,0,0
2017-07-31,46,35,48,8.3,0,41.4,41.4,0,0
2017-07-30,39,32.7,35,7.2,0,29.6,29.6,0,0
2017-07-29,42,34.4,42,8.3,0,44.9,44.9,0,0
2017-07-28,41,34.4,37,8.3,0,48.2,48.2,0,0
2017-07-27,48,36.7,39,7.2,0,52.6,52.6,0,0
2017-07-26,41,33.9,40,6.7,0,15.5,15.5,0,0
2017-07-25,39,35,35,7.2,0,43.2,43.2,0,0
2017-07-24,40,33.4,41,7.2,0,19.8,19.8,0,0
2017-07-23,42,32.7,37,7.8,0,30.7,30.7,0,0
2017-07-22,44,33.9,35,7.8,0,28.4,28.4,0,0
2017-07-21,46,36.4,43,5.6,0,17.8,17.8,0,0
2017-07-20,43,35.3,41,5.6,0,42.2,42.2,0,0
2017-07-19,43,33.9,40,7.6,0,30.5,30.5,0,0
2017-07-18,44,36.1,35,7.8,0,40.1,40.1,0,0
2017-07-17,45,34.8,35,7.8,0,44.2,44.2,0,0
2017-07-16,44,35.7,39,8.3,0,43,43,0,0
2017-07-15,45,33.6,43,5,0,18.8,18.8,0,0
2017-07-14,50,35,39,6.7,0,35.1,35.1,0,0
2017-07-13,43,33.3,63,8.4,0,34,34,0,0
2017-07-12,41,32.2,39,6,0,43,43,0,0
2017-07-11,40,33.1,43,6.7,0,43.4,43.4,0,0
2017-07-10,41,33.2,35,7.2,0,20.3,20.3,0,0
2017-07-09,46,35.5,39,5,0,48,48,0,0
2017-07-08,41,36.1,48,7.5,0,49.4,49.4,0,0
2017-07-07,44,36.4,39,6.7,0,33,33,0,0
2017-07-06,43,36.1,43,5.6,0,40.4,40.4,0,0
2017-07-05,43,33.6,56,5.6,0,63,63,0,0
2017-07-04,45,34.6,42,6.1,0,16.6,16.6,0,0
2017-07-03,42,35,45,7.2,0,37.3,37.3,0,0
2017-07-02,41,33.9,35,5.9,0,43.4,43.4,0,0
2017-07-01,44,33.9,48,7.2,0,21.6,21.6,0,0
2017-06-30,41,33.9,39,6.3,0,25.1,25.1,0,0
2017-06-29,40,33.3,56,5.2,0,30,30,0,0
2017-06-28,42,36.1,51,6.1,0,59.9,59.9,0,0
2017-06-27,42,33.9,80,8.1,0,56.4,56.4,0,0
2017-06-26,40,33.6,45,6.2,0,17.4,17.4,0,0
2017-06-25,44,38.2,60,5.8,0,82.6,82.6,0,0
2017-06-24,40,35.6,42,4.3,0,31.8,31.8,0,0
2017-06-23,40,32.5,44,5.1,0,28.8,28.8,0,0
2017-06-22,40,32.8,39,1.3,0,29.8,26,0,0
2017-06-21,40,32.9,39,3.3,0,36.1,36.1,0,0
2017-06-20,44,33.9,55,3.9,0,19.6,19.6,0,0
2017-06-19,41,33.9,39,6.7,0,16.5,16.5,0,0
2017-06-18,41,34.2,42,2.2,0,28.2,28.2,0,0
2017-06-17,42,33.8,46,1.1,0,81.8,81.8,0,0
2017-06-16,44,32.8,48,3.5,0,42.4,42.4,0,0
2017-06-15,42,32.2,50,4.3,0,21.6,21.6,0,0
2017-06-14,42,33.7,41,2.8,0,26,26,0,0
2017-06-13,39,33.3,43,3.9,0,23.6,23.6,0,0
2017-06-12,39,32.2,48,3.6,0,51.3,51.3,0,0
2017-06-11,40,31.1,56,-0.6,0,82.8,82.8,0,0
2017-06-10,40,31.4,42,1.1,0,23.4,23.4,0,0
2017-06-09,39,31.1,51,2.8,0,41.4,41.4,0,0
2017-06-08,40,32.6,57,0,0,35.5,17,0,0
2017-06-07,39,31,39,2.2,0,33.2,33.2,0,0
2017-06-06,40,31.1,48,1.7,0,22.4,22.4,0,0
2017-06-05,36,30.6,42,2.2,0,24.4,24.4,0,0
2017-06-04,34,30.6,37,1.7,0,21.2,17.8,0,0
2017-06-03,33,28.3,56,2.7,0,16.5,15.4,0,0
2017-06-02,35,31.1,52,0.6,0,18.5,18.5,0,0
2017-06-01,33,28.4,44,0.6,0,39.6,33,0,0
2017-05-31,40,31.1,48,1.7,0,50.3,50.3,0,0
2017-05-30,39,32.4,41,1.7,0,39,39,0,0
2017-05-29,40,33.1,43,0.6,0,24.1,21.6,0,0
2017-05-28,39,31.7,48,0.6,0,60.5,42.6,0,0
2017-05-27,36,30,41,0.6,0,33.4,33.4,0,0
2017-05-26,35,29.6,42,-1.7,0,22.8,22.8,0,0
2017-05-25,37,30.7,48,-1.1,0,26.2,26.2,0,0
2017-05-24,35,29.4,55,-1.7,0,26.7,26.7,0,0
2017-05-23,36,30.6,89,-1.7,0,16.8,16.8,0,0
2017-05-22,36,30.6,46,0.5,0,35.3,35.3,0,0
2017-05-21,35,31.7,47,-2.8,0,31.4,30.2,0,0
2017-05-20,37,31.1,45,-1.3,0,58.2,58.2,0,0
2017-05-19,36,31.2,64,-2.8,0,36.2,36.2,0,0
2017-05-18,36,31.1,47,-3.3,0,47.5,47.5,0,0
2017-05-17,36,31.7,52,-1.7,0,24.4,24.4,0,0
2017-05-16,36,31.1,58,-2.2,0,27.7,27.7,0.3,0
2017-05-15,36,31.1,45,0.4,0,36.3,36.3,0,0
2017-05-14,33,30,56,-0.8,0,21.6,21.6,1,0
2017-05-13,36,29.4,43,-1.7,0,28.3,26.8,5,0
2017-05-12,34,28.7,44,-0.6,0,25,25,0,0
2017-05-11,34,28.2,54,-3.3,0,30,30,1,0
2017-05-10,33,28.3,61,-5,0,29.6,29.6,0.5,0
2017-05-09,34,28.8,52,-4.4,0,41.7,41.7,0.5,0
2017-05-08,33,30.1,56,-3.9,0,21.3,21.3,0.5,0
2017-05-07,32,27.8,44,-5,0,15.2,11.7,2.2,0
2017-05-06,33,31.1,48,-4.4,0,48.5,48.5,0,0
2017-05-05,30,31.1,61,-2.8,0,20,19.1,0,0
